"Env_step","MAP_NAME: smacv2_20_units - eval_m/.win_rate","MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX","MAP_NAME: smacv2_10_units - eval_m/.win_rate","MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX","MAP_NAME: smacv2_5_units - eval_m/.win_rate","MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX","MAP_NAME: 27m_vs_30m - eval_m/.win_rate","MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN","MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX","MAP_NAME: 10m_vs_11m - eval_m/.win_rate","MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN","MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX","MAP_NAME: 6h_vs_8z - eval_m/.win_rate","MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN","MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX","MAP_NAME: 5m_vs_6m - eval_m/.win_rate","MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN","MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX","MAP_NAME: 3s5z - eval_m/.win_rate","MAP_NAME: 3s5z - eval_m/.win_rate__MIN","MAP_NAME: 3s5z - eval_m/.win_rate__MAX","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX","MAP_NAME: 3s_vs_5z - eval_m/.win_rate","MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN","MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX","MAP_NAME: 2s3z - eval_m/.win_rate","MAP_NAME: 2s3z - eval_m/.win_rate__MIN","MAP_NAME: 2s3z - eval_m/.win_rate__MAX"
"3784704","5","0","12.5","13.75","6.25","18.75","45","34.375","53.125","82.29166666666667","59.375","96.875","33.75","25","43.75","88.125","81.25","93.75","0.625","0","3.125","51.25","25","81.25","0","0","0","0.625","0","3.125","91.875","87.5","96.875"
"3833856","5","0","9.375","11.875","0","18.75","41.25","28.125","50","84.375","56.25","100","26.875","18.75","37.5","83.75","65.625","100","0","0","0","47.5","31.25","56.25","0","0","0","0.625","0","3.125","93.125","90.625","100"
"3883008","3.125","0","6.25","15","3.125","25","38.75","31.25","53.125","84.375","53.125","100","30.625","18.75","40.625","92.5","87.5","96.875","0","0","0","56.875","31.25","68.75","0","0","0","1.25","0","6.25","85.625","75","93.75"
"3932160","5","0","12.5","18.75","0","40.625","42.5","34.375","50","78.125","46.875","100","34.375","18.75","40.625","90.625","81.25","96.875","0","0","0","57.5","40.625","78.125","0","0","0","1.875","0","9.375","86.875","75","100"
"3981312","3.125","0","9.375","19.375","9.375","28.125","36.25","21.875","53.125","80.20833333333333","46.875","100","36.25","12.5","56.25","89.375","84.375","100","2.5","0","6.25","46.25","31.25","65.625","0","0","0","1.25","0","6.25","86.875","78.125","93.75"
"4030464","3.75","0","9.375","20","9.375","31.25","41.875","28.125","53.125","77.08333333333333","40.625","100","36.875","28.125","43.75","88.75","84.375","90.625","0.625","0","3.125","51.875","31.25","75","0","0","0","0.625","0","3.125","87.5","75","93.75"
"4079616","3.125","0","6.25","17.5","9.375","25","38.75","31.25","43.75","82.29166666666667","59.375","93.75","36.875","25","46.875","88.125","81.25","93.75","0.625","0","3.125","56.875","46.875","71.875","0.625","0","3.125","1.875","0","9.375","88.125","78.125","93.75"
"4128768","2.5","0","3.125","21.25","12.5","31.25","48.125","34.375","53.125","79.16666666666667","43.75","96.875","33.125","15.625","43.75","81.25","56.25","93.75","0.625","0","3.125","66.25","50","81.25","0","0","0","0.625","0","3.125","90.625","87.5","96.875"
"4177920","3.75","0","12.5","20.625","18.75","25","41.25","25","50","79.16666666666667","56.25","90.625","34.375","28.125","46.875","84.375","68.75","93.75","1.875","0","3.125","60.625","43.75","78.125","0","0","0","1.875","0","9.375","92.5","90.625","100"
"4227072","2.5","0","3.125","18.125","9.375","28.125","40.625","37.5","43.75","82.29166666666667","62.5","93.75","31.25","12.5","43.75","81.25","62.5","93.75","0.625","0","3.125","53.125","34.375","81.25","0","0","0","3.125","0","15.625","90.625","87.5","93.75"
"4276224","3.75","0","9.375","21.875","12.5","34.375","45","28.125","56.25","79.16666666666667","46.875","96.875","37.5","28.125","50","86.875","84.375","93.75","2.5","0","9.375","58.75","50","68.75","0","0","0","0.625","0","3.125","91.25","90.625","93.75"
"4325376","6.875","3.125","12.5","21.25","3.125","43.75","50.625","37.5","56.25","86.45833333333333","68.75","96.875","35.625","18.75","43.75","87.5","78.125","100","1.25","0","6.25","60.625","31.25","84.375","0","0","0","3.125","0","15.625","90.625","87.5","100"
