Step,Env_step,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
52,106496,1.84065941721201,0,3.84615398943424,4.0214341878891,0,10.0000001490116,8.33582893013954,3.92156876623631,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,108544,2.21591915935278,0,3.99999991059303,6.34487189352512,3.99999991059303,9.61538478732109,10.6924313306808,6.25,12.9629626870155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,110592,1.08723480254412,0,1.92307699471712,4.52020548284054,3.92156876623631,6.25,8.04539013653994,2.12765950709581,13.3333340287209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,112640,1.11111111938953,0,3.70370373129845,3.88592433184385,1.85185186564922,9.61538478732109,12.908034324646,9.43396240472794,17.6470592617989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,114688,1.45454544574022,0,5.45454546809197,2.11029086261988,0,8.51063802838326,8.3937431126833,0,14.8936167359352,0,0,0,0,0,0,0,0,0,0.141843967139721,0,0.709219835698605,0,0,0,0,0,0,0,0,0,0,0,0
57,116736,0.36363635212183,0,1.81818176060915,3.48592437803745,1.85185186564922,7.69230797886848,9.21028763055801,6.66666701436043,11.5384615957737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,118784,1.07210028916597,0,3.6363635212183,5.64415942877531,1.99999995529652,10.0000001490116,6.92668184638023,2.27272734045982,10.0000001490116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,120832,1.43724698573351,0,5.26315793395042,3.64643033593893,1.92307699471712,4.76190485060215,6.97190143167973,2.32558138668537,10.416666418314,0,0,0,0,0,0,0,0,0,0.137931033968925,0,0.689655169844627,0,0,0,0,0,0,0,0,0,0,0,0
60,122880,0.655913986265659,0,1.66666675359011,4.46675915271044,2.17391308397055,7.84313753247261,6.37871038168669,2.0833333954215,9.80392172932625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,124928,0,0,0,5.32249793410301,1.85185186564922,8.51063802838326,9.70346972346306,0,14.583332836628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
