Env_step,MAP_NAME: smacv2_20_units - eval_m/.win_rate,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_10_units - eval_m/.win_rate,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_5_units - eval_m/.win_rate,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX,MAP_NAME: 27m_vs_30m - eval_m/.win_rate,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX,MAP_NAME: 10m_vs_11m - eval_m/.win_rate,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX,MAP_NAME: 6h_vs_8z - eval_m/.win_rate,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX,MAP_NAME: 5m_vs_6m - eval_m/.win_rate,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX,MAP_NAME: 3s5z - eval_m/.win_rate,MAP_NAME: 3s5z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z - eval_m/.win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX,MAP_NAME: 3s_vs_5z - eval_m/.win_rate,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX,MAP_NAME: 2s3z - eval_m/.win_rate,MAP_NAME: 2s3z - eval_m/.win_rate__MIN,MAP_NAME: 2s3z - eval_m/.win_rate__MAX
2457600,0.625,0,3.125,10,3.125,12.5,29.375,15.625,37.5,59.375,46.875,75,23.125,15.625,31.25,37.5,6.25,71.875,2.5,0,6.25,18.125,9.375,37.5,0,0,0,0,0,0,71.875,56.25,84.375
2506752,3.125,0,9.375,8.75,6.25,15.625,38.125,25,53.125,53.125,43.75,59.375,21.875,12.5,37.5,43.125,9.375,87.5,2.5,0,6.25,16.25,6.25,34.375,0,0,0,0,0,0,71.875,50,90.625
2555904,3.75,0,6.25,10,0,21.875,32.5,21.875,40.625,66.40625,53.125,81.25,16.25,6.25,28.125,45.625,6.25,96.875,0,0,0,20,9.375,43.75,0,0,0,0,0,0,73.75,68.75,78.125
2605056,3.125,0,6.25,10,6.25,15.625,38.125,25,50,56.25,40.625,62.5,21.25,12.5,31.25,48.125,9.375,93.75,1.25,0,3.125,26.25,3.125,62.5,0,0,0,0,0,0,73.75,62.5,81.25
2654208,3.125,0,6.25,11.25,3.125,18.75,30,21.875,37.5,67.1875,56.25,84.375,26.875,9.375,46.875,50,3.125,100,0.625,0,3.125,21.25,0,56.25,0,0,0,0,0,0,68.125,53.125,75
2703360,8.125,3.125,12.5,7.5,3.125,9.375,43.125,31.25,53.125,74.21875,50,87.5,20,3.125,34.375,51.25,12.5,90.625,0.625,0,3.125,31.25,9.375,53.125,0,0,0,0,0,0,77.5,62.5,96.875
2752512,4.375,0,6.25,12.5,6.25,18.75,39.375,28.125,53.125,67.1875,37.5,84.375,30,15.625,43.75,54.375,12.5,93.75,1.875,0,6.25,23.75,9.375,37.5,0,0,0,0,0,0,70.625,59.375,78.125
2801664,3.125,0,6.25,8.75,3.125,15.625,45,37.5,53.125,61.71875,21.875,78.125,25,9.375,43.75,52.5,15.625,93.75,1.25,0,3.125,28.125,6.25,46.875,0,0,0,0,0,0,83.125,81.25,90.625
2850816,4.375,0,12.5,9.375,6.25,12.5,40,31.25,50,66.40625,46.875,81.25,32.5,12.5,43.75,50.625,3.125,96.875,1.25,0,3.125,33.75,18.75,53.125,0,0,0,0,0,0,76.25,68.75,84.375
2899968,3.75,0,9.375,10,6.25,15.625,38.125,31.25,50,67.1875,37.5,81.25,32.5,18.75,50,51.875,12.5,93.75,0.625,0,3.125,34.375,15.625,53.125,0,0,0,0,0,0,77.5,65.625,87.5
